risk_event_id,shipment_id,warehouse_id,supplier_id,product_id,event_date,risk_category,risk_type,severity,impact_area,estimated_loss,status,root_cause,resolution_action,resolved_date
RSK000023,SHP003885,7,354,1243,12-01-2025,Weather,Flood,Low,Customer,1266,Open,Heavy rainfall disrupted transport,Additional quality inspection,
RSK000024,SHP000317,12,156,2851,02-03-2025,Logistics,Wrong Delivery,Medium,Customer,7181,Resolved,Poor demand forecasting,Insurance claim initiated,04-03-2025
RSK000025,SHP008616,10,20,1185,05-10-2025,Product Quality,Manufacturing Defect,Medium,Customer,18161,Investigating,Vehicle mechanical failure,Additional quality inspection,
RSK000026,SHP004521,16,64,3988,25-02-2025,Product Quality,Damaged Goods,Low,Inventory,728,Mitigated,Warehouse power outage,Route optimized,27-02-2025
RSK000027,SHP002960,15,287,1931,07-10-2025,Warehouse,Storage Capacity Full,Low,Warehouse,4229,Resolved,Warehouse power outage,Insurance claim initiated,14-10-2025
RSK000028,SHP005426,9,42,3611,08-09-2025,Logistics,Lost Shipment,Medium,Inventory,18224,Resolved,Poor demand forecasting,Warehouse maintenance completed,20-09-2025
RSK000029,SHP008456,16,473,4479,26-08-2025,Logistics,Route Blockage,Low,Inventory,2713,Mitigated,Heavy rainfall disrupted transport,Increased safety stock,29-08-2025
RSK000030,SHP002880,17,341,4153,04-11-2025,Inventory,Inventory Mismatch,Low,Supplier,3458,Mitigated,Vehicle mechanical failure,Increased safety stock,06-11-2025
RSK000031,SHP006862,15,41,1723,01-04-2025,Supplier,Material Shortage,Low,Warehouse,3699,Mitigated,Poor demand forecasting,Insurance claim initiated,13-04-2025
RSK000032,SHP001999,22,66,3203,03-07-2025,Logistics,Shipment Delay,High,Shipment,30816,Investigating,Packaging quality issue,Additional quality inspection,
RSK000033,SHP000295,11,91,4420,09-11-2025,Logistics,Route Blockage,High,Customer,47981,Resolved,Vehicle mechanical failure,Increased safety stock,12-11-2025
RSK000034,SHP010114,9,186,3621,11-10-2025,Logistics,Wrong Delivery,Medium,Shipment,6402,Resolved,Heavy rainfall disrupted transport,Insurance claim initiated,23-10-2025
RSK000035,SHP009574,23,280,629,19-03-2025,Warehouse,Storage Capacity Full,Low,Customer,1358,Resolved,Heavy rainfall disrupted transport,Assigned alternate supplier,30-03-2025
RSK000036,SHP012646,3,389,3017,30-12-2025,Supplier,Supplier Capacity Issue,Medium,Inventory,13106,Resolved,Warehouse power outage,Route optimized,11-01-2026
RSK000037,SHP002207,10,171,2099,17-03-2025,Logistics,Route Blockage,High,Supplier,81962,Resolved,Supplier production delay,Increased safety stock,24-03-2025
RSK000038,SHP005722,1,416,1262,20-07-2025,Supplier,Supplier Capacity Issue,Low,Customer,4865,Resolved,Warehouse power outage,Warehouse maintenance completed,31-07-2025
RSK000039,SHP010691,23,413,1873,04-05-2025,Logistics,Shipment Delay,Critical,Customer,404150,Investigating,Warehouse power outage,Assigned alternate supplier,
RSK000040,SHP008625,24,224,4635,15-07-2025,Logistics,Wrong Delivery,Low,Warehouse,4946,Investigating,Poor demand forecasting,Expedited shipment,
RSK000041,SHP007102,4,17,552,05-04-2025,Weather,Cyclone,High,Inventory,41289,Investigating,Vehicle mechanical failure,Increased safety stock,
RSK000042,SHP003792,23,331,1233,16-04-2025,Warehouse,Equipment Failure,Low,Shipment,2548,Resolved,Vehicle mechanical failure,Route optimized,29-04-2025
RSK000043,SHP002520,5,285,4303,03-07-2025,Logistics,Shipment Delay,Low,Warehouse,4939,Investigating,Vehicle mechanical failure,Additional quality inspection,
RSK000044,SHP007743,18,315,2404,12-07-2025,Warehouse,Equipment Failure,Low,Supplier,1673,Mitigated,Customs clearance delay,Warehouse maintenance completed,24-07-2025
RSK000045,SHP001698,14,490,4821,04-05-2025,Warehouse,Equipment Failure,Low,Customer,4431,Investigating,Heavy rainfall disrupted transport,Expedited shipment,
RSK000046,SHP011884,2,382,1577,19-07-2025,Transportation,Fuel Shortage,Medium,Inventory,9156,Resolved,Incorrect inventory records,Additional quality inspection,01-08-2025
RSK000047,SHP012435,25,381,4168,18-11-2025,Logistics,Shipment Delay,Medium,Warehouse,22103,Resolved,Warehouse power outage,Emergency procurement completed,30-11-2025
RSK000048,SHP011348,20,83,1971,30-01-2025,Warehouse,Storage Capacity Full,Low,Customer,3811,Investigating,Poor demand forecasting,Insurance claim initiated,
RSK000049,SHP002557,25,192,2877,12-04-2025,Inventory,Inventory Mismatch,Low,Supplier,4715,Resolved,Poor demand forecasting,Assigned alternate supplier,14-04-2025
RSK000050,SHP006503,6,208,12,23-08-2025,Product Quality,Damaged Goods,Medium,Warehouse,21016,Resolved,Heavy rainfall disrupted transport,Emergency procurement completed,27-08-2025
RSK000051,SHP001948,2,369,3640,14-07-2025,Inventory,Overstock,Low,Warehouse,3514,Resolved,Supplier production delay,Route optimized,25-07-2025
RSK000052,SHP010963,24,43,4759,20-09-2025,Inventory,Inventory Mismatch,Medium,Supplier,6099,Resolved,Vehicle mechanical failure,Insurance claim initiated,04-10-2025
RSK000053,SHP011419,2,396,2967,26-01-2025,Weather,Flood,Medium,Inventory,5792,Resolved,Heavy rainfall disrupted transport,Assigned alternate supplier,03-02-2025
RSK000054,SHP010610,3,277,2124,15-06-2025,Product Quality,Damaged Goods,Low,Customer,3844,Resolved,Heavy rainfall disrupted transport,Warehouse maintenance completed,29-06-2025
RSK000055,SHP001510,14,146,1981,02-06-2025,Supplier,Late Delivery,Medium,Shipment,21379,Resolved,Packaging quality issue,Additional quality inspection,08-06-2025
RSK000056,SHP012403,21,191,1883,03-07-2025,Inventory,Overstock,High,Customer,91072,Mitigated,Supplier production delay,Emergency procurement completed,06-07-2025
RSK000057,SHP004294,15,247,2790,10-11-2025,Inventory,Inventory Mismatch,Low,Customer,3708,Mitigated,Packaging quality issue,Emergency procurement completed,23-11-2025
RSK000058,SHP004394,7,216,2842,08-03-2025,Supplier,Supplier Capacity Issue,Medium,Customer,7235,Mitigated,Incorrect inventory records,Increased safety stock,17-03-2025
RSK000059,SHP012832,10,168,1335,13-04-2025,Inventory,Inventory Mismatch,Medium,Inventory,12432,Resolved,Customs clearance delay,Increased safety stock,26-04-2025
RSK000060,SHP007418,2,100,4972,13-11-2025,Warehouse,Power Failure,Low,Supplier,1506,Mitigated,Warehouse power outage,Emergency procurement completed,21-11-2025
RSK000061,SHP009900,14,151,1007,28-10-2025,Product Quality,Damaged Goods,High,Supplier,60525,Resolved,Warehouse power outage,Insurance claim initiated,03-11-2025
RSK000062,SHP006678,7,32,718,25-09-2025,Warehouse,Fire Alarm,Low,Warehouse,1312,Resolved,Incorrect inventory records,Expedited shipment,02-10-2025
RSK000063,SHP002857,14,443,3156,17-04-2025,Supplier,Material Shortage,Medium,Shipment,12532,Mitigated,Heavy rainfall disrupted transport,Assigned alternate supplier,24-04-2025
RSK000064,SHP009616,11,486,3860,04-04-2025,Logistics,Route Blockage,Low,Inventory,1547,Investigating,Packaging quality issue,Emergency procurement completed,
RSK000065,SHP013848,8,329,2969,08-10-2025,Logistics,Shipment Delay,Low,Warehouse,4073,Resolved,Poor demand forecasting,Emergency procurement completed,19-10-2025
RSK000066,SHP001039,4,192,2207,27-01-2025,Warehouse,Equipment Failure,Low,Inventory,2047,Resolved,Packaging quality issue,Warehouse maintenance completed,03-02-2025
RSK000067,SHP000387,1,92,2003,14-04-2025,Logistics,Shipment Delay,Low,Shipment,4746,Resolved,Customs clearance delay,Warehouse maintenance completed,18-04-2025
RSK000068,SHP007634,5,225,3086,06-10-2025,Logistics,Shipment Delay,Low,Shipment,2562,Mitigated,Vehicle mechanical failure,Emergency procurement completed,18-10-2025
RSK000069,SHP010025,9,25,134,04-12-2025,Product Quality,Manufacturing Defect,Low,Warehouse,3244,Resolved,Customs clearance delay,Insurance claim initiated,13-12-2025
RSK000070,SHP004149,8,166,163,22-02-2025,Warehouse,Storage Capacity Full,Critical,Customer,185532,Resolved,Poor demand forecasting,Route optimized,24-02-2025
RSK000071,SHP008553,5,477,4477,01-09-2025,Financial,Currency Fluctuation,Medium,Warehouse,20263,Resolved,Poor demand forecasting,Increased safety stock,07-09-2025
RSK000072,SHP010884,22,476,3778,07-08-2025,Supplier,Late Delivery,Medium,Shipment,5373,Resolved,Warehouse power outage,Insurance claim initiated,13-08-2025
RSK000073,SHP013920,1,140,2123,21-04-2025,Logistics,Shipment Delay,Low,Customer,1720,Resolved,Packaging quality issue,Route optimized,29-04-2025
RSK000074,SHP001160,4,30,3998,11-12-2025,Product Quality,Damaged Goods,Low,Shipment,2315,Resolved,Packaging quality issue,Emergency procurement completed,15-12-2025
RSK000075,SHP001944,8,408,2581,09-04-2025,Logistics,Shipment Delay,High,Shipment,81652,Resolved,Customs clearance delay,Insurance claim initiated,15-04-2025
RSK000076,SHP004114,19,383,4107,13-03-2025,Logistics,Wrong Delivery,High,Warehouse,66256,Investigating,Customs clearance delay,Increased safety stock,
RSK000077,SHP014060,16,101,3703,19-09-2025,Supplier,Material Shortage,High,Shipment,59103,Mitigated,Vehicle mechanical failure,Warehouse maintenance completed,30-09-2025
RSK000078,SHP010705,6,103,4529,10-01-2025,Warehouse,Fire Alarm,Low,Warehouse,1047,Resolved,Vehicle mechanical failure,Increased safety stock,18-01-2025
RSK000079,SHP007637,2,417,1098,08-08-2025,Inventory,Stockout,Medium,Warehouse,22198,Mitigated,Warehouse power outage,Expedited shipment,13-08-2025
RSK000080,SHP013838,16,137,386,20-03-2025,Logistics,Shipment Delay,Medium,Supplier,14082,Resolved,Incorrect inventory records,Insurance claim initiated,02-04-2025
RSK000081,SHP005225,2,422,2975,20-10-2025,Logistics,Lost Shipment,High,Supplier,34365,Resolved,Poor demand forecasting,Additional quality inspection,01-11-2025
RSK000082,SHP001099,10,133,1446,15-05-2025,Logistics,Route Blockage,Medium,Customer,9676,Resolved,Vehicle mechanical failure,Warehouse maintenance completed,26-05-2025
RSK000083,SHP005884,1,77,889,01-10-2025,Inventory,Inventory Mismatch,Low,Shipment,4859,Open,Supplier production delay,Insurance claim initiated,
RSK000084,SHP010287,19,383,2947,12-08-2025,Transportation,Traffic Congestion,Medium,Shipment,16588,Mitigated,Poor demand forecasting,Additional quality inspection,20-08-2025
RSK000085,SHP008014,16,442,4085,29-06-2025,Logistics,Wrong Delivery,Medium,Supplier,20502,Investigating,Heavy rainfall disrupted transport,Emergency procurement completed,
RSK000086,SHP008126,11,344,873,09-04-2025,Warehouse,Fire Alarm,Medium,Supplier,13243,Mitigated,Heavy rainfall disrupted transport,Assigned alternate supplier,19-04-2025
RSK000087,SHP009057,22,92,4552,21-09-2025,Product Quality,Packaging Damage,Low,Warehouse,4658,Mitigated,Supplier production delay,Insurance claim initiated,24-09-2025
RSK000088,SHP011800,5,79,2436,03-12-2025,Logistics,Lost Shipment,Medium,Customer,14966,Investigating,Incorrect inventory records,Insurance claim initiated,
RSK000089,SHP011261,21,59,2203,10-05-2025,Inventory,Inventory Mismatch,Low,Customer,4461,Resolved,Warehouse power outage,Increased safety stock,21-05-2025
RSK000090,SHP006837,16,331,1222,26-06-2025,Warehouse,Power Failure,High,Supplier,25954,Investigating,Vehicle mechanical failure,Expedited shipment,
RSK000091,SHP009153,12,114,1783,12-12-2025,Logistics,Shipment Delay,Low,Supplier,1780,Mitigated,Incorrect inventory records,Route optimized,14-12-2025
RSK000092,SHP006069,11,378,4329,03-10-2025,Logistics,Lost Shipment,Low,Supplier,4132,Mitigated,Heavy rainfall disrupted transport,Additional quality inspection,07-10-2025
RSK000093,SHP014570,11,151,3013,13-06-2025,Weather,Flood,Medium,Warehouse,11210,Mitigated,Customs clearance delay,Route optimized,15-06-2025
RSK000094,SHP010437,6,65,798,18-02-2025,Warehouse,Equipment Failure,Medium,Customer,22035,Resolved,Customs clearance delay,Assigned alternate supplier,21-02-2025
RSK000095,SHP013774,9,306,4349,23-05-2025,Logistics,Route Blockage,High,Shipment,49866,Open,Vehicle mechanical failure,Insurance claim initiated,
RSK000096,SHP009037,4,460,4065,14-08-2025,Inventory,Inventory Mismatch,Medium,Inventory,16280,Resolved,Vehicle mechanical failure,Route optimized,28-08-2025
RSK000097,SHP014142,13,473,3365,08-04-2025,Product Quality,Packaging Damage,Critical,Inventory,295039,Resolved,Vehicle mechanical failure,Additional quality inspection,13-04-2025
RSK000098,SHP003193,10,62,2165,31-05-2025,Inventory,Inventory Mismatch,High,Warehouse,53107,Resolved,Heavy rainfall disrupted transport,Expedited shipment,07-06-2025
RSK000099,SHP003452,13,117,2512,03-09-2025,Warehouse,Equipment Failure,Medium,Inventory,14374,Resolved,Vehicle mechanical failure,Increased safety stock,11-09-2025
RSK000100,SHP003834,3,496,3486,13-10-2025,Warehouse,Fire Alarm,Low,Shipment,2184,Resolved,Poor demand forecasting,Increased safety stock,16-10-2025
RSK000101,SHP003802,17,175,4294,28-05-2025,Supplier,Late Delivery,Low,Warehouse,3836,Resolved,Poor demand forecasting,Insurance claim initiated,11-06-2025
RSK000102,SHP010880,7,388,1002,24-04-2025,Logistics,Shipment Delay,Low,Shipment,3680,Resolved,Customs clearance delay,Insurance claim initiated,27-04-2025
RSK000103,SHP012009,14,441,3007,13-12-2025,Supplier,Late Delivery,Critical,Inventory,291499,Open,Packaging quality issue,Increased safety stock,
RSK000104,SHP001139,19,102,4211,13-01-2025,Inventory,Overstock,Low,Inventory,2231,Resolved,Incorrect inventory records,Assigned alternate supplier,16-01-2025
RSK000105,SHP013354,1,298,1226,03-08-2025,Logistics,Shipment Delay,Medium,Inventory,23539,Mitigated,Customs clearance delay,Route optimized,13-08-2025
RSK000106,SHP012575,6,496,128,27-04-2025,Supplier,Supplier Capacity Issue,Low,Shipment,4430,Open,Heavy rainfall disrupted transport,Route optimized,
RSK000107,SHP004995,5,44,3257,26-11-2025,Logistics,Wrong Delivery,Low,Warehouse,3723,Mitigated,Incorrect inventory records,Route optimized,04-12-2025
RSK000108,SHP010998,24,372,4086,26-03-2025,Supplier,Supplier Capacity Issue,Low,Customer,3281,Mitigated,Packaging quality issue,Insurance claim initiated,04-04-2025
RSK000109,SHP005626,18,403,4061,25-01-2025,Logistics,Wrong Delivery,High,Customer,47963,Investigating,Poor demand forecasting,Increased safety stock,
RSK000110,SHP003663,24,434,4915,07-11-2025,Logistics,Lost Shipment,Low,Supplier,1512,Resolved,Customs clearance delay,Increased safety stock,19-11-2025
RSK000111,SHP010687,18,252,3010,24-03-2025,Supplier,Material Shortage,Medium,Customer,5163,Investigating,Customs clearance delay,Additional quality inspection,
RSK000112,SHP002968,2,200,4953,12-02-2025,Inventory,Inventory Mismatch,High,Warehouse,46029,Resolved,Incorrect inventory records,Route optimized,14-02-2025
RSK000113,SHP014232,7,63,3244,08-06-2025,Supplier,Late Delivery,Medium,Shipment,18289,Resolved,Warehouse power outage,Warehouse maintenance completed,14-06-2025
RSK000114,SHP006204,21,208,71,13-02-2025,Product Quality,Packaging Damage,Medium,Supplier,17475,Resolved,Packaging quality issue,Additional quality inspection,16-02-2025
RSK000115,SHP005888,11,87,3302,16-07-2025,Inventory,Stockout,Critical,Inventory,259584,Investigating,Supplier production delay,Insurance claim initiated,
RSK000116,SHP004438,22,329,4628,20-05-2025,Logistics,Lost Shipment,Medium,Shipment,19609,Resolved,Incorrect inventory records,Additional quality inspection,03-06-2025
RSK000117,SHP008694,21,291,1437,28-09-2025,Transportation,Fuel Shortage,Medium,Warehouse,14860,Resolved,Packaging quality issue,Route optimized,03-10-2025
RSK000118,SHP008128,13,190,4712,20-01-2025,Supplier,Material Shortage,High,Inventory,69552,Resolved,Poor demand forecasting,Assigned alternate supplier,30-01-2025
RSK000119,SHP006567,25,69,4447,23-01-2025,Logistics,Lost Shipment,Low,Warehouse,3304,Resolved,Poor demand forecasting,Emergency procurement completed,06-02-2025
RSK000120,SHP009329,10,261,3031,14-11-2025,Transportation,Vehicle Breakdown,Low,Inventory,3339,Resolved,Supplier production delay,Insurance claim initiated,15-11-2025
RSK000121,SHP010944,4,463,67,26-11-2025,Logistics,Wrong Delivery,Low,Inventory,1066,Resolved,Warehouse power outage,Route optimized,09-12-2025
RSK000122,SHP003085,25,333,1839,04-06-2025,Logistics,Shipment Delay,Medium,Inventory,10000,Resolved,Poor demand forecasting,Warehouse maintenance completed,14-06-2025
RSK000123,SHP009296,23,233,1971,30-05-2025,Inventory,Inventory Mismatch,Low,Warehouse,4570,Resolved,Incorrect inventory records,Increased safety stock,04-06-2025
RSK000124,SHP000437,18,151,2088,19-02-2025,Warehouse,Storage Capacity Full,Low,Customer,4330,Resolved,Incorrect inventory records,Assigned alternate supplier,23-02-2025
RSK000125,SHP001539,8,284,544,21-07-2025,Logistics,Lost Shipment,Low,Customer,1460,Resolved,Poor demand forecasting,Insurance claim initiated,30-07-2025
RSK000126,SHP006425,23,432,2347,17-07-2025,Supplier,Supplier Capacity Issue,Low,Inventory,1290,Resolved,Poor demand forecasting,Insurance claim initiated,22-07-2025
RSK000127,SHP012151,25,259,3600,30-10-2025,Logistics,Wrong Delivery,High,Warehouse,67266,Resolved,Vehicle mechanical failure,Emergency procurement completed,03-11-2025
RSK000128,SHP007746,10,437,3247,22-08-2025,Warehouse,Power Failure,Low,Supplier,4224,Resolved,Heavy rainfall disrupted transport,Warehouse maintenance completed,05-09-2025
RSK000129,SHP009282,24,457,4740,24-11-2025,Logistics,Route Blockage,Low,Shipment,4638,Resolved,Supplier production delay,Assigned alternate supplier,30-11-2025
RSK000130,SHP001745,14,385,928,01-07-2025,Supplier,Supplier Capacity Issue,Low,Supplier,4601,Open,Warehouse power outage,Route optimized,
RSK000131,SHP008546,11,3,4069,08-12-2025,Supplier,Late Delivery,High,Inventory,73338,Mitigated,Supplier production delay,Additional quality inspection,18-12-2025
RSK000132,SHP012077,8,151,4475,06-04-2025,Logistics,Lost Shipment,Medium,Customer,22397,Mitigated,Supplier production delay,Increased safety stock,17-04-2025
RSK000133,SHP004455,17,275,3646,23-02-2025,Warehouse,Equipment Failure,Medium,Warehouse,9153,Resolved,Supplier production delay,Emergency procurement completed,24-02-2025
RSK000134,SHP011619,3,146,4368,15-01-2025,Logistics,Route Blockage,Critical,Inventory,336942,Resolved,Incorrect inventory records,Insurance claim initiated,26-01-2025
RSK000135,SHP002955,8,133,4457,21-01-2025,Warehouse,Storage Capacity Full,High,Inventory,59011,Resolved,Packaging quality issue,Insurance claim initiated,03-02-2025
RSK000136,SHP005431,22,410,1438,13-06-2025,Supplier,Late Delivery,Low,Supplier,4692,Investigating,Vehicle mechanical failure,Insurance claim initiated,
RSK000137,SHP006935,11,441,4128,04-02-2025,Warehouse,Equipment Failure,Low,Supplier,3448,Investigating,Incorrect inventory records,Assigned alternate supplier,
RSK000138,SHP007775,9,222,2041,09-02-2025,Inventory,Overstock,Medium,Inventory,12692,Resolved,Incorrect inventory records,Additional quality inspection,23-02-2025
RSK000139,SHP014453,14,142,319,25-10-2025,Warehouse,Storage Capacity Full,Medium,Shipment,18764,Resolved,Warehouse power outage,Emergency procurement completed,26-10-2025
RSK000140,SHP004271,20,152,330,01-11-2025,Logistics,Lost Shipment,Medium,Supplier,21948,Resolved,Customs clearance delay,Emergency procurement completed,03-11-2025
RSK000141,SHP001874,13,250,3829,20-11-2025,Inventory,Inventory Mismatch,Low,Inventory,1753,Resolved,Poor demand forecasting,Warehouse maintenance completed,27-11-2025
RSK000142,SHP007161,20,246,3981,23-08-2025,Supplier,Material Shortage,High,Customer,93653,Investigating,Customs clearance delay,Assigned alternate supplier,
RSK000143,SHP007683,9,63,4636,08-12-2025,Supplier,Material Shortage,Low,Shipment,4615,Mitigated,Supplier production delay,Assigned alternate supplier,16-12-2025
RSK000144,SHP013405,23,469,1237,17-04-2025,Logistics,Shipment Delay,Medium,Inventory,5673,Resolved,Packaging quality issue,Assigned alternate supplier,24-04-2025
RSK000145,SHP010539,18,459,3140,26-05-2025,Inventory,Inventory Mismatch,High,Customer,97193,Investigating,Vehicle mechanical failure,Route optimized,
RSK000146,SHP010912,16,69,3403,15-05-2025,Product Quality,Packaging Damage,Low,Inventory,4288,Investigating,Poor demand forecasting,Additional quality inspection,
RSK000147,SHP011864,23,124,1820,18-05-2025,Supplier,Late Delivery,High,Customer,64131,Mitigated,Warehouse power outage,Emergency procurement completed,01-06-2025
RSK000148,SHP008972,10,336,3505,04-01-2025,Weather,Heavy Rain,Low,Warehouse,1646,Resolved,Supplier production delay,Assigned alternate supplier,05-01-2025
RSK000149,SHP012903,17,415,3084,10-02-2025,Logistics,Wrong Delivery,Low,Warehouse,2749,Resolved,Supplier production delay,Insurance claim initiated,21-02-2025
RSK000150,SHP013257,24,384,858,14-07-2025,Product Quality,Damaged Goods,Low,Supplier,4940,Investigating,Vehicle mechanical failure,Warehouse maintenance completed,
RSK000151,SHP001131,8,354,3774,26-09-2025,Warehouse,Fire Alarm,High,Customer,57796,Mitigated,Vehicle mechanical failure,Assigned alternate supplier,09-10-2025
RSK000152,SHP006167,25,245,3438,12-08-2025,Warehouse,Equipment Failure,Medium,Warehouse,8523,Resolved,Vehicle mechanical failure,Route optimized,21-08-2025
RSK000153,SHP004218,8,122,4645,14-05-2025,Inventory,Inventory Mismatch,Medium,Shipment,20152,Resolved,Vehicle mechanical failure,Warehouse maintenance completed,27-05-2025
RSK000154,SHP002568,23,439,1796,20-11-2025,Logistics,Route Blockage,High,Shipment,87771,Mitigated,Incorrect inventory records,Insurance claim initiated,29-11-2025
RSK000155,SHP009987,7,398,546,20-02-2025,Warehouse,Power Failure,Critical,Warehouse,401106,Resolved,Vehicle mechanical failure,Emergency procurement completed,04-03-2025
RSK000156,SHP007866,6,352,306,12-04-2025,Inventory,Inventory Mismatch,Low,Customer,3686,Resolved,Poor demand forecasting,Assigned alternate supplier,22-04-2025
RSK000157,SHP004140,17,400,2881,29-08-2025,Warehouse,Storage Capacity Full,Low,Shipment,566,Investigating,Incorrect inventory records,Expedited shipment,
RSK000158,SHP005463,7,44,672,19-06-2025,Logistics,Lost Shipment,Medium,Supplier,7192,Resolved,Packaging quality issue,Insurance claim initiated,25-06-2025
RSK000159,SHP008932,18,224,1898,14-05-2025,Weather,Flood,Low,Inventory,4495,Resolved,Warehouse power outage,Warehouse maintenance completed,18-05-2025
RSK000160,SHP005762,3,339,1655,21-08-2025,Supplier,Material Shortage,Medium,Inventory,5183,Resolved,Incorrect inventory records,Insurance claim initiated,04-09-2025
RSK000161,SHP001747,10,134,369,03-11-2025,Inventory,Overstock,Low,Customer,3033,Resolved,Packaging quality issue,Emergency procurement completed,07-11-2025
RSK000162,SHP003904,23,147,613,15-08-2025,Inventory,Inventory Mismatch,Low,Inventory,1914,Investigating,Warehouse power outage,Warehouse maintenance completed,
RSK000163,SHP014795,13,182,3858,11-04-2025,Logistics,Lost Shipment,Low,Warehouse,4849,Resolved,Packaging quality issue,Expedited shipment,16-04-2025
RSK000164,SHP014725,4,463,1463,14-05-2025,Supplier,Material Shortage,Low,Shipment,2447,Resolved,Poor demand forecasting,Assigned alternate supplier,25-05-2025
RSK000165,SHP009671,6,111,3278,26-12-2025,Supplier,Supplier Capacity Issue,High,Inventory,77980,Resolved,Poor demand forecasting,Insurance claim initiated,09-01-2026
RSK000166,SHP010451,11,222,4687,07-03-2025,Weather,Cyclone,Low,Warehouse,1858,Open,Supplier production delay,Expedited shipment,
RSK000167,SHP006044,17,373,3870,16-03-2025,Warehouse,Power Failure,Medium,Shipment,18462,Investigating,Incorrect inventory records,Assigned alternate supplier,
RSK000168,SHP012112,21,52,3238,01-02-2025,Inventory,Inventory Mismatch,High,Supplier,42589,Resolved,Heavy rainfall disrupted transport,Additional quality inspection,15-02-2025
RSK000169,SHP004468,17,337,1455,12-09-2025,Warehouse,Storage Capacity Full,Medium,Supplier,14229,Resolved,Packaging quality issue,Increased safety stock,20-09-2025
RSK000170,SHP006937,22,226,3408,29-12-2025,Inventory,Inventory Mismatch,Medium,Inventory,8109,Mitigated,Packaging quality issue,Insurance claim initiated,04-01-2026
RSK000171,SHP014256,20,43,3893,03-02-2025,Logistics,Route Blockage,Medium,Warehouse,15015,Mitigated,Packaging quality issue,Emergency procurement completed,04-02-2025
