shipment_id,order_id,warehouse_id,shipping_city,shipping_state,shipping_partner,shipped_date,expected_delivery_date,actual_delivery_date,shipment_status,delivery_days,shipping_cost,shipment_priority,tracking_status,delay_reason,delivery_rating,customer_feedback,is_on_time
SHP000037,ORD000037,3,Aligarh, Kerala,Delhivery,21-03-2025,25-03-2025,,In Transit,,685.53,Express,Arrived at Hub,,,,Pending
SHP000038,ORD000038,5,Sambalpur, Chhattisgarh,Ecom Express,08-04-2026,14-04-2026,15-04-2026,Delivered,7,499.04,Standard,Delivered,,3,Average,No
SHP000039,ORD000039,14,Maheshtala, Haryana,Blue Dart,23-07-2024,25-07-2024,24-07-2024,Delivered,1,676.03,Express,Delivered,,3,Average,Yes
SHP000040,ORD000040,14,Guwahati, Uttar Pradesh,XpressBees,13-10-2024,20-10-2024,,In Transit,,101.46,Standard,Arrived at Hub,,,,Pending
SHP000041,ORD000041,21,Nangloi Jat, Arunachal Pradesh,Ecom Express,15-04-2026,17-04-2026,17-04-2026,Delivered,2,741.8,Standard,Delivered,,3,Average,Yes
SHP000042,ORD000042,4,Haldia, Tamil Nadu,Delhivery,21-07-2024,24-07-2024,23-07-2024,Delivered,2,559.47,Standard,Delivered,,3,Average,Yes
SHP000043,ORD000043,6,Loni, Chhattisgarh,Delhivery,26-09-2024,01-10-2024,30-09-2024,Delivered,4,880.76,Standard,Delivered,,4,Good,Yes
SHP000044,ORD000044,18,Gandhidham, Madhya Pradesh,Ecom Express,24-10-2025,26-10-2025,27-10-2025,Delivered,3,999.32,Standard,Delivered,,4,Good,No
SHP000045,ORD000045,3,Bangalore, Arunachal Pradesh,Delhivery,13-01-2026,16-01-2026,16-01-2026,Delivered,3,511.36,Standard,Delivered,,4,Good,Yes
SHP000046,ORD000046,13,Jaipur, Assam,Blue Dart,13-03-2025,16-03-2025,18-03-2025,Returned,5,52.05,Standard,Returned to Warehouse,,5,Excellent,No
SHP000047,ORD000047,15,Ramgarh, Tamil Nadu,India Post,16-06-2025,21-06-2025,22-06-2025,Delivered,6,959.45,Standard,Delivered,,3,Average,No
SHP000048,ORD000048,18,Suryapet, Chhattisgarh,Delhivery,16-07-2026,23-07-2026,,In Transit,,512.34,Standard,Arrived at Hub,,,,Pending
SHP000049,ORD000049,7,Cuttack, Maharashtra,XpressBees,18-02-2026,24-02-2026,25-02-2026,Delivered,7,565.09,Express,Delivered,,5,Excellent,No
SHP000050,ORD000050,2,Delhi, Meghalaya,Ecom Express,30-05-2026,05-06-2026,05-06-2026,Delivered,6,527.71,Express,Delivered,,2,Poor,Yes
SHP000051,ORD000051,6,Kulti, Arunachal Pradesh,Delhivery,27-04-2026,03-05-2026,02-05-2026,Delivered,5,858.78,Express,Delivered,,2,Poor,Yes
SHP000052,ORD000052,3,Buxar, Telangana,Ekart Logistics,13-12-2025,16-12-2025,18-12-2025,Returned,5,163.89,Standard,Returned to Warehouse,,3,Average,No
SHP000053,ORD000053,8,Bilaspur, Nagaland,Blue Dart,11-06-2025,17-06-2025,18-06-2025,Returned,7,638.41,Express,Returned to Warehouse,,3,Average,No
SHP000054,ORD000054,19,Bhiwandi, Mizoram,Delhivery,12-05-2026,18-05-2026,18-05-2026,Delivered,6,937.97,Standard,Delivered,,4,Good,Yes
SHP000055,ORD000055,23,Sangli-Miraj & Kupwad, Haryana,XpressBees,16-08-2024,20-08-2024,,In Transit,,426,Standard,Arrived at Hub,,,,Pending
SHP000056,ORD000056,10,Dibrugarh, Andhra Pradesh,DTDC,19-09-2025,23-09-2025,24-09-2025,Returned,5,58.85,Standard,Returned to Warehouse,,3,Average,No
SHP000057,ORD000057,19,Barasat, Meghalaya,Delhivery,24-03-2025,26-03-2025,27-03-2025,Delivered,3,252.5,Standard,Delivered,,3,Average,No
SHP000058,ORD000058,12,Ramagundam, Rajasthan,Blue Dart,31-07-2025,03-08-2025,03-08-2025,Delivered,3,320.74,Standard,Delivered,,3,Average,Yes
SHP000059,ORD000059,18,Chandigarh, Kerala,Ecom Express,07-05-2025,11-05-2025,12-05-2025,Delivered,5,984.66,Standard,Delivered,,4,Good,No
SHP000060,ORD000060,17,Jhansi, Manipur,XpressBees,26-03-2026,02-04-2026,05-04-2026,Returned,10,334.41,Same Day,Returned to Warehouse,,5,Excellent,No
SHP000061,ORD000061,5,Ballia, Uttar Pradesh,Delhivery,27-02-2026,01-03-2026,,In Transit,,755.3,Standard,Arrived at Hub,,,,Pending
SHP000062,ORD000062,10,Alwar, Telangana,XpressBees,15-06-2025,18-06-2025,19-06-2025,Delivered,4,375.74,Standard,Delivered,,3,Average,No
SHP000063,ORD000063,9,Nadiad, Arunachal Pradesh,Ecom Express,21-12-2025,26-12-2025,26-12-2025,Delivered,5,910.07,Same Day,Delivered,,2,Poor,Yes
SHP000064,ORD000064,3,Khammam, Uttarakhand,Blue Dart,08-01-2026,12-01-2026,,Out for Delivery,,91.88,Standard,Out for Delivery,,,,Pending
SHP000065,ORD000065,5,Gangtok, Manipur,DTDC,06-02-2026,10-02-2026,09-02-2026,Delivered,3,754.17,Standard,Delivered,,5,Excellent,Yes
SHP000066,ORD000066,14,Indore, Himachal Pradesh,Ekart Logistics,16-06-2026,18-06-2026,,In Transit,,121.48,Express,Arrived at Hub,,,,Pending
SHP000067,ORD000067,5,Ramagundam, Mizoram,Delhivery,24-11-2025,28-11-2025,,In Transit,,603.38,Express,Arrived at Hub,,,,Pending
SHP000068,ORD000068,5,Adoni, Gujarat,Ecom Express,04-02-2026,08-02-2026,08-02-2026,Delivered,4,904.03,Standard,Delivered,,3,Average,Yes
SHP000069,ORD000069,2,Aurangabad, West Bengal,Delhivery,23-02-2026,26-02-2026,27-02-2026,Delivered,4,287.05,Standard,Delivered,,4,Good,No
SHP000070,ORD000070,25,Muzaffarpur, Telangana,Ekart Logistics,22-10-2024,27-10-2024,28-10-2024,Delivered,6,762,Standard,Delivered,,3,Average,No
SHP000071,ORD000071,8,Jorhat, Gujarat,XpressBees,10-10-2025,13-10-2025,15-10-2025,Returned,5,73.55,Standard,Returned to Warehouse,,2,Poor,No
SHP000072,ORD000072,11,Kakinada, Karnataka,Ecom Express,08-11-2025,15-11-2025,,In Transit,,870.86,Standard,Arrived at Hub,,,,Pending
SHP000073,ORD000073,9,Sirsa, Nagaland,Delhivery,04-02-2025,11-02-2025,12-02-2025,Returned,8,413.41,Standard,Returned to Warehouse,,5,Excellent,No
SHP000074,ORD000074,16,Dibrugarh, Tamil Nadu,Ecom Express,04-04-2026,07-04-2026,09-04-2026,Returned,5,382.18,Standard,Returned to Warehouse,,4,Good,No
SHP000075,ORD000075,8,Singrauli, Andhra Pradesh,Blue Dart,14-03-2026,16-03-2026,,In Transit,,677.03,Express,Arrived at Hub,,,,Pending
SHP000076,ORD000076,9,Jaipur, Arunachal Pradesh,DTDC,21-01-2026,25-01-2026,,In Transit,,383.59,Standard,Arrived at Hub,,,,Pending
SHP000077,ORD000077,22,Bidar, Rajasthan,Shadowfax,13-07-2025,17-07-2025,16-07-2025,Delivered,3,159.57,Standard,Delivered,,4,Good,Yes
SHP000078,ORD000078,6,Gangtok, Arunachal Pradesh,Blue Dart,13-06-2026,17-06-2026,16-06-2026,Delivered,3,152.98,Standard,Delivered,,3,Average,Yes
SHP000079,ORD000079,24,Sultan Pur Majra, Gujarat,Delhivery,08-03-2025,13-03-2025,16-03-2025,Returned,8,985.02,Express,Returned to Warehouse,,2,Poor,No
SHP000080,ORD000080,19,Phagwara, Manipur,Delhivery,07-07-2025,11-07-2025,10-07-2025,Delivered,3,723.35,Standard,Delivered,,2,Poor,Yes
SHP000081,ORD000081,18,Siliguri, Uttar Pradesh,Delhivery,19-07-2026,26-07-2026,27-07-2026,Delivered,8,750.19,Standard,Delivered,,5,Excellent,No
SHP000082,ORD000082,14,Motihari, Goa,XpressBees,06-03-2025,13-03-2025,19-03-2025,Delayed,13,642,Standard,Delivery Delayed,High Order Volume,,,No
SHP000083,ORD000083,4,Sangli-Miraj & Kupwad, Punjab,Blue Dart,01-01-2025,05-01-2025,06-01-2025,Delivered,5,343.82,Standard,Delivered,,4,Good,No
SHP000084,ORD000084,13,Jhansi, Manipur,Blue Dart,24-06-2025,28-06-2025,29-06-2025,Delivered,5,170.92,Standard,Delivered,,3,Average,No
SHP000085,ORD000085,13,Bhiwani, Haryana,Blue Dart,11-01-2025,18-01-2025,17-01-2025,Delivered,6,634.74,Express,Delivered,,3,Average,Yes
SHP000086,ORD000086,18,Dharmavaram, Uttar Pradesh,Ecom Express,14-02-2025,18-02-2025,,Out for Delivery,,249.67,Standard,Out for Delivery,,,,Pending
SHP000087,ORD000087,20,Gangtok, Manipur,XpressBees,22-03-2025,27-03-2025,,Out for Delivery,,469.7,Express,Out for Delivery,,,,Pending
SHP000088,ORD000088,17,Udaipur, Andhra Pradesh,Delhivery,13-05-2025,20-05-2025,19-05-2025,Delivered,6,675.91,Same Day,Delivered,,3,Average,Yes
SHP000089,ORD000089,22,Durg, Odisha,XpressBees,22-06-2025,24-06-2025,,Out for Delivery,,827.5,Standard,Out for Delivery,,,,Pending
SHP000090,ORD000090,22,Pallavaram, Sikkim,Delhivery,17-01-2025,20-01-2025,19-01-2025,Delivered,2,189.99,Standard,Delivered,,4,Good,Yes
SHP000091,ORD000091,16,Purnia, Jharkhand,DTDC,18-08-2024,20-08-2024,20-08-2024,Delivered,2,443.72,Standard,Delivered,,5,Excellent,Yes
SHP000092,ORD000092,7,Bhalswa Jahangir Pur, Gujarat,Delhivery,29-11-2024,04-12-2024,,Out for Delivery,,429.67,Express,Out for Delivery,,,,Pending
SHP000093,ORD000093,23,Jaipur, Arunachal Pradesh,Ecom Express,24-04-2025,26-04-2025,26-04-2025,Delivered,2,257.9,Standard,Delivered,,2,Poor,Yes
SHP000094,ORD000094,23,Suryapet, Chhattisgarh,Delhivery,30-03-2025,04-04-2025,,In Transit,,97.71,Standard,Arrived at Hub,,,,Pending
SHP000095,ORD000095,4,Rourkela, Telangana,India Post,03-12-2024,06-12-2024,06-12-2024,Delivered,3,684.2,Standard,Delivered,,3,Average,Yes
SHP000096,ORD000096,20,Kadapa, Sikkim,Ekart Logistics,07-09-2025,12-09-2025,14-09-2025,Delayed,7,824.26,Express,Delivery Delayed,Vehicle Breakdown,,,No
SHP000097,ORD000097,14,Gandhinagar, Meghalaya,XpressBees,02-01-2025,07-01-2025,,In Transit,,902.35,Standard,Arrived at Hub,,,,Pending
SHP000098,ORD000098,16,Guna, Jharkhand,Delhivery,16-07-2025,20-07-2025,19-07-2025,Delivered,3,847.87,Standard,Delivered,,3,Average,Yes
SHP000099,ORD000099,25,Tezpur, Rajasthan,Blue Dart,17-12-2024,22-12-2024,23-12-2024,Delivered,6,277.28,Standard,Delivered,,3,Average,No
SHP000100,ORD000100,23,Guwahati, Uttar Pradesh,Ekart Logistics,17-01-2026,20-01-2026,22-01-2026,Returned,5,369.06,Same Day,Returned to Warehouse,,1,Very Poor,No
SHP000101,ORD000101,3,Bhagalpur, Maharashtra,Delhivery,14-07-2025,17-07-2025,16-07-2025,Delivered,2,413.88,Standard,Delivered,,5,Excellent,Yes
SHP000102,ORD000102,7,Amravati, Gujarat,Blue Dart,21-04-2025,26-04-2025,26-04-2025,Delivered,5,364.34,Standard,Delivered,,4,Good,Yes
SHP000103,ORD000103,2,Latur, Sikkim,DTDC,17-07-2025,22-07-2025,22-07-2025,Delivered,5,909.6,Express,Delivered,,4,Good,Yes
SHP000104,ORD000104,23,Kollam, Maharashtra,Ekart Logistics,02-11-2024,08-11-2024,11-11-2024,Delayed,9,503.13,Express,Delivery Delayed,Weather,,,No
SHP000105,ORD000105,10,Bangalore, Mizoram,DTDC,24-12-2025,29-12-2025,30-12-2025,Delivered,6,760.14,Standard,Delivered,,4,Good,No
SHP000106,ORD000106,20,Bhavnagar, Bihar,Blue Dart,31-10-2025,05-11-2025,04-11-2025,Delivered,4,309.29,Standard,Delivered,,3,Average,Yes
SHP000107,ORD000107,13,Bareilly, Bihar,Blue Dart,29-11-2025,06-12-2025,,In Transit,,695.18,Express,Arrived at Hub,,,,Pending
SHP000108,ORD000108,6,Jhansi, Manipur,Ekart Logistics,04-01-2026,07-01-2026,10-01-2026,Returned,6,557.42,Express,Returned to Warehouse,,3,Average,No
SHP000109,ORD000109,19,Howrah, Sikkim,Blue Dart,19-12-2025,26-12-2025,25-12-2025,Delivered,6,129.75,Standard,Delivered,,3,Average,Yes
SHP000110,ORD000110,15,Bidar, Jharkhand,Delhivery,17-11-2025,21-11-2025,,In Transit,,410.15,Standard,Arrived at Hub,,,,Pending
SHP000111,ORD000111,11,Ambattur, Punjab,Ecom Express,21-02-2026,26-02-2026,26-02-2026,Delivered,5,764.41,Express,Delivered,,3,Average,Yes
SHP000112,ORD000112,9,Jehanabad, Meghalaya,Delhivery,22-07-2024,24-07-2024,29-07-2024,Delayed,7,761.57,Express,Delivery Delayed,Traffic Congestion,,,No
SHP000113,ORD000113,12,Haridwar, Odisha,XpressBees,24-05-2025,31-05-2025,30-05-2025,Delivered,6,792.17,Express,Delivered,,4,Good,Yes
SHP000114,ORD000114,25,Bidar, Uttarakhand,DTDC,08-05-2025,11-05-2025,,In Transit,,847.27,Standard,Arrived at Hub,,,,Pending
SHP000115,ORD000115,8,Jabalpur, Jharkhand,Ekart Logistics,07-04-2025,12-04-2025,13-04-2025,Delivered,6,158.67,Standard,Delivered,,3,Average,No
SHP000116,ORD000116,15,Miryalaguda, Arunachal Pradesh,DTDC,17-08-2025,21-08-2025,21-08-2025,Delivered,4,209.4,Express,Delivered,,5,Excellent,Yes
SHP000117,ORD000117,24,Arrah, Jharkhand,Delhivery,14-01-2025,16-01-2025,15-01-2025,Delivered,1,966.48,Express,Delivered,,4,Good,Yes
SHP000118,ORD000118,1,Bardhaman, Tamil Nadu,Delhivery,31-05-2026,05-06-2026,,Lost,,944.4,Express,Shipment Lost,Supplier Delay,,,Pending
SHP000119,ORD000119,19,Jamnagar, Arunachal Pradesh,Ecom Express,02-09-2024,09-09-2024,10-09-2024,Returned,8,146.81,Standard,Returned to Warehouse,,4,Good,No
SHP000120,ORD000120,22,Jamalpur, Assam,Blue Dart,02-07-2025,04-07-2025,05-07-2025,Delivered,3,793.5,Standard,Delivered,,2,Poor,No
SHP000121,ORD000121,14,Gulbarga, Assam,Blue Dart,03-02-2025,05-02-2025,,Out for Delivery,,530.66,Express,Out for Delivery,,,,Pending
SHP000122,ORD000122,14,Sonipat, Nagaland,Blue Dart,29-05-2026,31-05-2026,,In Transit,,461.85,Standard,Arrived at Hub,,,,Pending
SHP000123,ORD000123,15,Saharsa, Jharkhand,DTDC,13-08-2025,16-08-2025,18-08-2025,Returned,5,217.33,Same Day,Returned to Warehouse,,3,Average,No
SHP000124,ORD000124,21,Khammam, Uttarakhand,Blue Dart,15-01-2026,21-01-2026,24-01-2026,Returned,9,785.91,Standard,Returned to Warehouse,,4,Good,No
SHP000125,ORD000125,24,Dindigul, Uttar Pradesh,Ecom Express,03-11-2024,07-11-2024,07-11-2024,Delivered,4,859.13,Express,Delivered,,3,Average,Yes
SHP000126,ORD000126,3,Bihar Sharif, Andhra Pradesh,Blue Dart,17-08-2025,22-08-2025,,In Transit,,281.67,Express,Arrived at Hub,,,,Pending
SHP000127,ORD000127,20,Munger, West Bengal,Ecom Express,30-01-2026,03-02-2026,,Out for Delivery,,77.26,Standard,Out for Delivery,,,,Pending
SHP000128,ORD000128,6,Rourkela, Tamil Nadu,Delhivery,10-07-2025,13-07-2025,,In Transit,,387.08,Standard,Arrived at Hub,,,,Pending
SHP000129,ORD000129,9,Unnao, Punjab,Ekart Logistics,30-07-2024,05-08-2024,,Out for Delivery,,59.64,Standard,Out for Delivery,,,,Pending
SHP000130,ORD000130,3,Meerut, Uttarakhand,Delhivery,17-03-2026,22-03-2026,,Out for Delivery,,577.42,Standard,Out for Delivery,,,,Pending
SHP000131,ORD000131,16,Tirunelveli, Kerala,Ecom Express,22-06-2026,29-06-2026,,In Transit,,516.28,Standard,Arrived at Hub,,,,Pending
SHP000132,ORD000132,3,Dharmavaram, Odisha,Blue Dart,25-11-2024,28-11-2024,28-11-2024,Delivered,3,707.2,Standard,Delivered,,5,Excellent,Yes
SHP000133,ORD000133,19,Rajpur Sonarpur, Andhra Pradesh,Blue Dart,04-10-2025,09-10-2025,10-10-2025,Delivered,6,554.38,Express,Delivered,,4,Good,No
SHP000134,ORD000134,24,Rajahmundry, Arunachal Pradesh,Delhivery,09-11-2025,13-11-2025,13-11-2025,Delivered,4,717.71,Standard,Delivered,,3,Average,Yes
SHP000135,ORD000135,9,Bharatpur, West Bengal,Delhivery,07-10-2025,09-10-2025,10-10-2025,Delivered,3,232.96,Standard,Delivered,,3,Average,No
SHP000136,ORD000136,18,Rajahmundry, Tripura,Blue Dart,26-03-2025,29-03-2025,28-03-2025,Delivered,2,255.57,Standard,Delivered,,5,Excellent,Yes
SHP000137,ORD000137,24,Madurai, Nagaland,Delhivery,24-05-2026,30-05-2026,31-05-2026,Delivered,7,318.85,Standard,Delivered,,4,Good,No
SHP000138,ORD000138,7,Ongole, Kerala,Delhivery,07-09-2024,10-09-2024,10-09-2024,Delivered,3,220.47,Standard,Delivered,,4,Good,Yes
SHP000139,ORD000139,18,Phagwara, Manipur,DTDC,04-01-2026,08-01-2026,07-01-2026,Delivered,3,975.58,Standard,Delivered,,4,Good,Yes
SHP000140,ORD000140,23,Shahjahanpur, Tamil Nadu,Delhivery,13-03-2025,20-03-2025,20-03-2025,Delivered,7,147.46,Standard,Delivered,,4,Good,Yes
SHP000141,ORD000141,10,Medininagar, Manipur,Shadowfax,28-06-2025,03-07-2025,03-07-2025,Delivered,5,373.67,Standard,Delivered,,4,Good,Yes
SHP000142,ORD000142,9,Guntakal, Chhattisgarh,Delhivery,06-01-2026,08-01-2026,07-01-2026,Delivered,1,430.67,Same Day,Delivered,,3,Average,Yes
SHP000143,ORD000143,21,Morbi, Gujarat,DTDC,27-09-2024,29-09-2024,28-09-2024,Delivered,1,191.74,Standard,Delivered,,4,Good,Yes
SHP000144,ORD000144,10,Rajahmundry, Himachal Pradesh,Blue Dart,16-01-2026,19-01-2026,18-01-2026,Delivered,2,580.17,Standard,Delivered,,4,Good,Yes
SHP000145,ORD000145,20,Kumbakonam, Manipur,Ekart Logistics,10-02-2026,13-02-2026,14-02-2026,Delivered,4,411.36,Express,Delivered,,5,Excellent,No
SHP000146,ORD000146,10,Sri Ganganagar, West Bengal,Delhivery,22-09-2024,27-09-2024,03-10-2024,Delayed,11,590.2,Express,Delivery Delayed,Weather,,,No
SHP000147,ORD000147,24,Kozhikode, Telangana,XpressBees,08-05-2025,11-05-2025,12-05-2025,Delivered,4,250.47,Standard,Delivered,,4,Good,No
SHP000148,ORD000148,6,Thrissur, Assam,Delhivery,04-08-2025,07-08-2025,,In Transit,,574.39,Standard,Arrived at Hub,,,,Pending
SHP000149,ORD000149,14,Tumkur, Bihar,Delhivery,24-09-2025,01-10-2025,02-10-2025,Delivered,8,496.42,Standard,Delivered,,4,Good,No
SHP000150,ORD000150,10,Etawah, Meghalaya,Delhivery,22-10-2025,26-10-2025,27-10-2025,Delivered,5,866.63,Standard,Delivered,,1,Very Poor,No
SHP000151,ORD000151,8,Bathinda, Maharashtra,Ecom Express,22-01-2025,29-01-2025,,In Transit,,610.3,Standard,Arrived at Hub,,,,Pending
SHP000152,ORD000152,7,Dhule, Telangana,Delhivery,31-01-2026,02-02-2026,03-02-2026,Delivered,3,263.57,Standard,Delivered,,5,Excellent,No
SHP000153,ORD000153,9,Sikar, Telangana,Blue Dart,19-11-2025,21-11-2025,22-11-2025,Returned,3,207.63,Standard,Returned to Warehouse,,3,Average,No
SHP000154,ORD000154,24,Khammam, Uttarakhand,XpressBees,03-08-2024,07-08-2024,07-08-2024,Delivered,4,168.14,Standard,Delivered,,2,Poor,Yes
SHP000155,ORD000155,23,Surat, Uttarakhand,Blue Dart,29-08-2024,02-09-2024,03-09-2024,Delivered,5,562.98,Same Day,Delivered,,3,Average,No
SHP000156,ORD000156,20,Bhimavaram, Meghalaya,Delhivery,13-12-2024,20-12-2024,,Out for Delivery,,356.21,Standard,Out for Delivery,,,,Pending
SHP000157,ORD000157,3,Ludhiana, Jharkhand,Delhivery,29-11-2025,06-12-2025,09-12-2025,Returned,10,607.77,Standard,Returned to Warehouse,,5,Excellent,No
SHP000158,ORD000158,25,Kanpur, Maharashtra,XpressBees,03-01-2026,07-01-2026,08-01-2026,Delivered,5,88.22,Standard,Delivered,,3,Average,No
SHP000159,ORD000159,16,Rajahmundry, Bihar,Delhivery,13-02-2025,20-02-2025,20-02-2025,Delivered,7,920.27,Standard,Delivered,,4,Good,Yes
SHP000160,ORD000160,19,Jamshedpur, West Bengal,Blue Dart,28-10-2024,04-11-2024,04-11-2024,Delivered,7,970.6,Standard,Delivered,,1,Very Poor,Yes
SHP000161,ORD000161,14,Vijayawada, Chhattisgarh,Delhivery,02-05-2025,06-05-2025,07-05-2025,Delivered,5,149.37,Express,Delivered,,3,Average,No
SHP000162,ORD000162,14,Kirari Suleman Nagar, Bihar,Blue Dart,18-01-2025,22-01-2025,,Out for Delivery,,679.45,Express,Out for Delivery,,,,Pending
SHP000163,ORD000163,25,Buxar, Goa,Blue Dart,05-08-2024,07-08-2024,,In Transit,,482.08,Express,Arrived at Hub,,,,Pending
SHP000164,ORD000164,11,Tadepalligudem, Uttarakhand,Delhivery,31-01-2025,05-02-2025,06-02-2025,Delivered,6,833.68,Same Day,Delivered,,5,Excellent,No
